85ab,1702569645365197,0.81362277,6.3109655,0.28752625,10,1309
da02,1702569646265288,6.260551,0.5307557,0.97044891,37,1318
85ab,1702569646365218,0.79852289,6.30037,0.29328996,9,1319
da02,1702569647265290,6.2400723,0.56052136,0.91441756,39,1328
85ab,1702569647365228,0.7968508,6.2917161,0.30248934,10,1329
da02,1702569648265332,6.2286091,0.57271689,0.86542737,38,1338
85ab,1702569648365292,0.79597592,6.3128362,0.29600444,10,1339
da02,1702569649265314,6.2109241,0.57405859,0.82453227,38,1348
85ab,1702569649365324,0.7886892,6.3609524,0.28363934,15,1349
da02,1702569650264748,6.2030687,0.59156227,0.80101705,38,1358
85ab,1702569650364471,0.78539884,6.3255639,0.29646233,10,1359
da02,1702569651265346,6.1862626,0.59497005,0.78829634,40,1368
85ab,1702569651365341,0.79554367,6.367662,0.28200167,15,1369
da02,1702569652265705,6.1782837,0.60568351,0.78060722,40,1378
85ab,1702569652365338,0.79831254,6.3520064,0.29479566,10,1379
da02,1702569653265345,6.18023,0.6132679,0.74828756,35,1388
85ab,1702569653365342,0.80075926,6.3624125,0.29677564,10,1389
da02,1702569654265349,6.184164,0.6151107,0.73498213,37,1398
85ab,1702569654365362,0.80671144,6.3633442,0.28746635,11,1399
da02,1702569655265826,6.1784334,0.62108839,0.74243778,40,1408
85ab,1702569655365370,0.79669052,6.3172283,0.29828233,11,1409
da02,1702569656264486,6.1765881,0.62696409,0.73650193,38,1418
85ab,1702569656365386,0.816148,6.4633212,0.2745724,71,1419
da02,1702569657265398,6.1710277,0.63651109,0.74425149,40,1428
85ab,1702569657365379,0.80636382,6.4346547,0.28201368,9,1429
da02,1702569658265358,6.1724253,0.64152658,0.73122424,37,1438
85ab,1702569658365349,0.80865854,6.3975115,0.28930473,10,1439
da02,1702569659265356,6.1625886,0.64749038,0.71079969,36,8
85ab,1702569659365393,0.81004107,6.417717,0.2751852,15,9
da02,1702569660265829,6.1643667,0.65945095,0.69986516,35,18
85ab,1702569660365355,0.80253136,6.4153481,0.27223933,12,19
da02,1702569661264519,6.1628308,0.63929623,0.70842856,39,28
85ab,1702569661364473,0.794023,6.4139876,0.27145121,11,29
da02,1702569662265358,6.1578078,0.63565242,0.72222906,40,38
85ab,1702569662365383,0.78121388,6.4005456,0.27084988,9,39
da02,1702569663265346,6.1683297,0.61957359,0.73144305,39,48
85ab,1702569663365362,0.77632505,6.4097753,0.25648311,13,49
da02,1702569664265360,6.1699343,0.62371522,0.73481929,39,58
85ab,1702569664365347,0.78797007,6.3883023,0.26919892,10,59
da02,1702569665265874,6.1608539,0.62978482,0.73629135,39,68
85ab,1702569665365400,0.75671488,6.3629823,0.28008139,8,69
da02,1702569666265386,6.1628256,0.62330025,0.74684668,40,78
85ab,1702569666365366,0.763286,6.3417964,0.28299034,9,79
da02,1702569667264512,6.1566663,0.6304794,0.74957305,40,88
85ab,1702569667365414,0.77080232,6.3561149,0.27984196,11,89
da02,1702569668265394,6.1620135,0.6300084,0.76342,41,98
85ab,1702569668365392,0.7849341,6.3695626,0.28108224,11,99
da02,1702569669265375,6.1687121,0.63097155,0.75384486,38,108
85ab,1702569669365368,0.77961594,6.3314724,0.28848386,10,109
da02,1702569670265373,6.1782236,0.61293668,0.75586647,40,118
85ab,1702569670365852,0.78932172,6.3184104,0.30019492,10,119
da02,1702569671265410,6.1795945,0.62285054,0.73324031,36,128
85ab,1702569671365632,0.78290176,6.288795,0.30827135,11,129
